source_id,source_sha256_12,operator,dimension,targets,assessed_ok,supported_ge_2_3,weak_below_floor,unassessed,failed_or_invalid,stale,excluded_by_discovery,excluded_ids,supported_and_discovery_eligible,supported_eligible_conf_ge_0.5,weak_and_discovery_eligible,best_eligible_target,best_norm,best_confidence,published_bonds
LF13,4cacb46235a9,BRIDGE,bridge_relation,40,40,17,23,0,0,0,2,LF12|LF14,17,0,21,LF3,0.780,0.340,0
LF14,7761643ceca9,ECHO,echo,40,40,13,27,0,0,0,2,LF13|LF15,11,7,27,LF11,0.983,0.950,0
LF14,7761643ceca9,DEVELOP,development,40,40,21,19,0,0,0,2,LF13|LF15,19,11,19,LF11,0.983,0.950,0
LF14,7761643ceca9,CONTRADICT,contradiction,40,40,2,38,0,0,0,2,LF13|LF15,2,0,36,LF1,0.720,0.420,0
LF14,7761643ceca9,BRIDGE,bridge_relation,40,40,31,9,0,0,0,2,LF13|LF15,31,4,7,LF11,0.910,0.730,0
LF15,8ea07c802632,ECHO,echo,40,40,8,32,0,0,0,2,LF14|LF16,6,5,32,LF13,0.867,0.600,0
LF15,8ea07c802632,DEVELOP,development,40,40,12,28,0,0,0,2,LF14|LF16,11,4,27,LF11,0.950,0.850,0
LF15,8ea07c802632,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,LF14|LF16,0,0,38,,,,0
LF15,8ea07c802632,BRIDGE,bridge_relation,40,40,33,7,0,0,0,2,LF14|LF16,33,6,5,LF11,0.927,0.780,0
LF16,38b65964bc16,ECHO,echo,40,40,10,30,0,0,0,1,LF15,9,4,30,LF14,0.893,0.680,0
LF16,38b65964bc16,DEVELOP,development,40,40,20,20,0,0,0,1,LF15,19,6,20,LF11,0.917,0.750,0
LF16,38b65964bc16,CONTRADICT,contradiction,40,40,0,40,0,0,0,1,LF15,0,0,39,,,,0
LF16,38b65964bc16,BRIDGE,bridge_relation,40,40,26,14,0,0,0,1,LF15,25,1,14,LF14,0.870,0.610,0
PR1,991c874b661b,ECHO,echo,40,40,10,30,0,0,0,1,PR2,9,6,30,PR3,0.990,0.970,0
PR1,991c874b661b,DEVELOP,development,40,40,10,30,0,0,0,1,PR2,9,7,30,PR3,0.970,0.910,3
PR1,991c874b661b,CONTRADICT,contradiction,40,40,0,40,0,0,0,1,PR2,0,0,39,,,,0
PR1,991c874b661b,BRIDGE,bridge_relation,40,40,22,18,0,0,0,1,PR2,22,1,17,LF11,0.857,0.570,0
PR2,e5bcf35ec9a0,ECHO,echo,40,40,12,28,0,0,0,2,PR1|PR3,10,6,28,PR4,0.983,0.950,0
PR2,e5bcf35ec9a0,DEVELOP,development,40,40,12,28,0,0,0,2,PR1|PR3,10,6,28,PR4,0.923,0.770,0
PR2,e5bcf35ec9a0,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,PR1|PR3,0,0,38,,,,0
PR2,e5bcf35ec9a0,BRIDGE,bridge_relation,40,40,21,19,0,0,0,2,PR1|PR3,21,4,17,LF7,0.880,0.640,0
PR3,cd4dd6796a8d,ECHO,echo,40,40,17,23,0,0,0,2,PR2|PR4,15,8,23,F12,0.983,0.950,0
PR3,cd4dd6796a8d,DEVELOP,development,40,40,19,21,0,0,0,2,PR2|PR4,17,6,21,PR1,0.970,0.910,0
PR3,cd4dd6796a8d,CONTRADICT,contradiction,40,40,1,39,0,0,0,2,PR2|PR4,1,0,37,P1,0.673,0.250,0
PR3,cd4dd6796a8d,BRIDGE,bridge_relation,40,40,23,17,0,0,0,2,PR2|PR4,23,6,15,LF11,0.903,0.710,0
PR4,189ba56ef3fe,ECHO,echo,40,40,8,32,0,0,0,2,PR3|PR5,6,6,32,F12,0.990,0.970,0
PR4,189ba56ef3fe,DEVELOP,development,40,40,8,32,0,0,0,2,PR3|PR5,6,5,32,PR1,0.927,0.780,0
PR4,189ba56ef3fe,CONTRADICT,contradiction,40,40,1,39,0,0,0,2,PR3|PR5,1,0,37,LF14,0.700,0.100,0
PR4,189ba56ef3fe,BRIDGE,bridge_relation,40,40,21,19,0,0,0,2,PR3|PR5,20,3,18,LF11,0.887,0.660,1
PR5,6ad6a8b18bb4,ECHO,echo,40,40,9,31,0,0,0,1,PR4,9,5,30,LF11,0.980,0.940,0
PR5,6ad6a8b18bb4,DEVELOP,development,40,40,16,24,0,0,0,1,PR4,15,3,24,PR3,0.957,0.870,0
PR5,6ad6a8b18bb4,CONTRADICT,contradiction,40,40,0,40,0,0,0,1,PR4,0,0,39,,,,0
PR5,6ad6a8b18bb4,BRIDGE,bridge_relation,40,40,29,11,0,0,0,1,PR4,29,1,10,LF11,0.867,0.600,0
